Item_Identifier,Outlet_Identifier,Item_Outlet_Sales
FDI56,OUT049,1591.867188
DRD01,OUT013,986.0065952
FDM22,OUT046,947.4284702
FDH33,OUT013,724.3359375
DRZ24,OUT013,1907.460938
NCQ38,OUT046,1690.351563
FDO16,OUT027,2804.046875
FDU07,OUT027,3865.546875
NCB07,OUT013,3074.859375
FDU48,OUT045,2047.96875
NCM43,OUT045,2551.703125
FDR31,OUT010,470.7019077
DRK49,OUT018,403.6328125
NCI30,OUT010,1911.679688
DRD60,OUT017,2964.101563
NCG19,OUT046,3661.539063
FDH12,OUT035,1837.0625
FDM32,OUT035,1670.03125
FDM27,OUT035,2651.74097
NCU53,OUT027,4084.5625
NCQ18,OUT046,1547.265625
FDS10,OUT013,2873.984375
FDB33,OUT027,4004.578125
FDI12,OUT013,1462.86597
NCW42,OUT013,3499.5
NCC06,OUT018,1754.039063
FDW02,OUT017,2136.248783
NCD43,OUT017,1764.96875
FDM57,OUT018,1102.920658
FDA58,OUT017,3833.671875
FDK56,OUT046,2959.679688
FDP52,OUT045,3602.967533
FDW20,OUT018,1750.335938
FDS52,OUT049,1711.25
NCT29,OUT018,1639.992188
NCL54,OUT013,2798.21875
FDC05,OUT045,3081.858158
FDF34,OUT035,3312.975345
FDP03,OUT027,3489.444095
FDD32,OUT010,-483.9465298
FDZ10,OUT045,1965.351563
FDZ40,OUT035,1028.617188
FDD51,OUT018,411.796875
NCY30,OUT019,932.921875
FDP58,OUT017,3529.796875
FDV49,OUT017,4317.210938
FDY24,OUT019,-1015.22778
NCO55,OUT017,1806.523438
FDR13,OUT017,2058.311283
FDS51,OUT017,1139.203125
FDP26,OUT045,1564.953125
NCB54,OUT027,3516.710938
FDF32,OUT017,3261.867188
FDN31,OUT018,2757.15625
DRM48,OUT017,686.59375
FDN20,OUT049,2826.867188
DRL01,OUT046,3704.42847
FDV56,OUT049,1910.45972
DRH13,OUT027,3171.28125
FDA03,OUT017,2434.389408
FDF47,OUT027,5009.703125
FDX32,OUT046,2402.483158
FDX57,OUT049,1692.49097
NCA30,OUT045,2899.648438
FDO49,OUT013,916.3112827
FDL04,OUT019,-253.1796875
DRM48,OUT035,745.0234375
FDR16,OUT013,3403.569095
NCC19,OUT018,2739.453125
NCE42,OUT045,3628.117188
FDY24,OUT017,1047.905033
FDH19,OUT049,2894.921875
FDJ46,OUT013,2786.59375
FDN45,OUT010,1600.96875
FDY08,OUT035,2429.45972
FDZ37,OUT035,1633.748783
NCT30,OUT045,688.1640625
DRY23,OUT018,440.1003452
NCZ30,OUT018,1652.929688
FDC44,OUT018,1549.4375
FDB45,OUT035,1871.203125
FDY04,OUT013,2649.155033
FDM27,OUT046,2578.733158
FDZ43,OUT017,3994.498783
FDT39,OUT019,570.1550327
NCC06,OUT019,109.59375
FDL15,OUT027,3906.140625
FDL57,OUT017,4201.850345
FDU08,OUT046,1639.515625
FDK40,OUT017,4262.867188
FDQ12,OUT010,1721.390625
FDS48,OUT017,2527.460938
FDP09,OUT045,3286.179688
FDW21,OUT049,1748.655033
FDY25,OUT035,3058.25
DRE13,OUT017,1482.695313
FDV43,OUT019,-1151.695313
FDD22,OUT045,1712.546875
FDM46,OUT019,-452.046875
NCO30,OUT010,1000.039063
FDM25,OUT046,2816.100345
NCN41,OUT049,2062.6875
FDU24,OUT045,1468.670658
FDZ50,OUT046,2918.842533
FDP45,OUT013,4043.444095
NCM54,OUT045,1917.75
FDW10,OUT019,874.1796875
FDP20,OUT017,2188.0625
FDK32,OUT046,2486.381595
FDN52,OUT049,1521.608158
FDM58,OUT045,1750.280033
FDZ46,OUT027,3223.898438
NCA18,OUT018,1572.414063
FDD35,OUT046,1991.132813
NCK31,OUT035,965.0859375
FDI40,OUT027,3073.27222
FDT50,OUT019,-338.7043423
NCT06,OUT046,2592.617188
FDT31,OUT035,3169.984375
FDT45,OUT049,974.4765625
FDT13,OUT045,2940.789063
FDO50,OUT045,1428.242188
NCU18,OUT010,298.46875
NCR54,OUT049,3148.5625
NCO18,OUT018,2530.28125
FDU09,OUT045,899.4128452
FDT13,OUT018,2739.453125
FDE09,OUT046,1852.1875
NCK53,OUT019,-265.0703125
FDG45,OUT049,3514.242188
DRH15,OUT035,856.7265625
FDO21,OUT019,1700.08472
FDD14,OUT027,4377.546875
FDC09,OUT046,1740.217533
FDH45,OUT027,2244.983158
FDV32,OUT046,1101.234375
FDG12,OUT035,2118.412845
FDS32,OUT013,2351.686283
NCL55,OUT018,3673.65625
DRE01,OUT035,3944.429688
DRE15,OUT049,1328.890625
NCL42,OUT045,3800.921875
FDP31,OUT013,1130.55347
FDN33,OUT018,1257.787845
FDZ59,OUT046,2661.944095
FDE45,OUT010,958.6328125
FDJ07,OUT013,1951.5625
FDQ45,OUT018,2700.217533
FDM33,OUT027,4905.796875
FDO15,OUT010,-616.8684048
FDM46,OUT013,1499.851563
FDR03,OUT045,3246.83472
FDY49,OUT018,2451.873783
FDQ60,OUT045,1873.787845
FDW10,OUT049,2887.78125
FDO51,OUT049,902.6394077
FDJ40,OUT018,1493.756595
FDS20,OUT018,2655.65625
FDU45,OUT013,1878.287845
FDV02,OUT035,2801.117188
FDN09,OUT046,3829.125
NCM55,OUT027,4395.664063
FDN23,OUT018,2082.061283
FDY31,OUT010,444.3046875
FDW03,OUT010,-138.1105923
FDD14,OUT046,2911.742188
FDV23,OUT017,2118.304688
DRI03,OUT045,2700.640625
FDN13,OUT035,1732.851563
FDF45,OUT027,2525.858158
FDU46,OUT035,1611.030033
FDB57,OUT049,3698.83472
FDV12,OUT049,1751.311283
FDQ58,OUT013,2449.453125
NCA18,OUT017,1935.367188
FDH52,OUT049,1130.608158
FDM24,OUT018,2161.569095
NCP43,OUT027,4318.890625
NCO18,OUT019,884.796875
FDM32,OUT017,1622.625
NCL07,OUT017,743.53125
FDK03,OUT013,4032.248783
FDP59,OUT017,1801.514408
FDQ24,OUT049,4062.34375
FDQ16,OUT018,1464.632813
FDU44,OUT013,2665.873783
FDH28,OUT010,-1264.391842
FDV28,OUT019,-1316.13403
FDM22,OUT045,864.6315952
FDR56,OUT046,3174.069095
FDV39,OUT049,3238.351563
FDU37,OUT019,-540.0637173
FDQ11,OUT010,2198.475345
FDX02,OUT045,3431.25
NCS42,OUT018,1187.859375
FDY57,OUT027,2999.670658
FDB21,OUT049,3935.375
FDE28,OUT017,3740.74097
FDQ55,OUT017,2012.576908
FDA48,OUT049,3611.757813
FDZ19,OUT045,2732.007813
NCC43,OUT045,3877.335938
NCV18,OUT046,1291.148438
NCA42,OUT018,2233.515625
FDY45,OUT046,4048.359375
NCC30,OUT045,2744.117188
FDM57,OUT013,1448.780033
FDL09,OUT010,736.8815952
FDB09,OUT027,3485.867188
FDT44,OUT035,2073.742188
NCT06,OUT027,4036.148438
FDX26,OUT049,2963.703125
FDK32,OUT013,2548.069095
DRA12,OUT046,2266.171875
FDO46,OUT010,1119.483158
FDE52,OUT013,1451.694095
NCH42,OUT045,3546.4375
FDV08,OUT035,902.1640625
FDB47,OUT018,3052.382813
FDC28,OUT010,-158.2890625
FDD22,OUT046,1814.03125
FDS07,OUT027,3326.359375
DRI13,OUT045,3351.617188
FDG32,OUT018,3252.75
FDU14,OUT017,4026.28125
FDD28,OUT019,-948.65625
NCP41,OUT017,1871.859375
FDS08,OUT049,2919.265625
FDX47,OUT045,2500.733158
FDC53,OUT019,-280.3984375
FDQ19,OUT035,4045.467533
FDL14,OUT045,2479.639408
FDM33,OUT019,1580.101563
FDA51,OUT045,1731.42847
FDZ27,OUT018,515.6171875
FDT04,OUT046,663.7734375
DRC13,OUT049,2124.95972
FDR16,OUT027,4855.912845
FDQ03,OUT027,5225.162845
FDE38,OUT035,2851.132813
DRH23,OUT027,2372.585938
FDT11,OUT019,1143.20972
FDD09,OUT035,3043.4375
FDR40,OUT045,1284.951908
FDX07,OUT017,3100.037845
FDR07,OUT035,1737.835938
FDA51,OUT017,1920.951908
FDT59,OUT019,1770.539063
FDF20,OUT017,3240.523438
FDR13,OUT045,1856.225345
FDY26,OUT049,3435.99097
FDW04,OUT017,2203.162845
FDK52,OUT017,3663.4375
FDN60,OUT049,2596.484375
FDM09,OUT019,838.3737827
FDP46,OUT049,1511.78125
FDB50,OUT019,-622.7578125
NCQ29,OUT049,4168.140625
FDP16,OUT027,5309.476563
FDX33,OUT018,2310.194095
FDP07,OUT010,1225.28125
FDN22,OUT046,3978.951908
FDF39,OUT049,4234.069095
FDS21,OUT017,1147.80347
NCM42,OUT013,1735.0625
FDK50,OUT019,745.5546875
DRF13,OUT027,3780.210938
FDH35,OUT018,2356.65625
FDP60,OUT018,1333.164063
DRJ49,OUT027,3523.0625
NCT42,OUT019,446.84375
FDE38,OUT049,2803.015625
FDI04,OUT049,3261.061283
NCH54,OUT045,2408.148438
FDT56,OUT049,1131.936283
DRD15,OUT018,3363.890625
FDV58,OUT013,3097.3125
FDP21,OUT049,3113.061283
FDH05,OUT013,3721.506595
FDR10,OUT027,4028.664063
NCP06,OUT045,2281.382813
FDF33,OUT049,2014.460938
DRK37,OUT013,3004.0625
DRH49,OUT045,1275.289063
FDT58,OUT013,2684.921875
FDD41,OUT018,1418.170658
FDP40,OUT018,1526.717533
FDM51,OUT027,3143.998783
FDO45,OUT010,-472.4934048
FDW33,OUT010,-223.71875
FDY24,OUT045,881.9362827
FDB10,OUT010,1829.257813
FDM40,OUT035,2360.5625
NCI06,OUT017,2947.367188
FDW12,OUT019,447.0222202
FDX48,OUT027,3969.373783
NCW05,OUT027,3147.054688
FDX27,OUT017,1629.99097
DRM37,OUT045,3041.390625
FDA38,OUT045,3725.242188
FDR36,OUT046,714.7253452
FDZ45,OUT046,3144.234375
FDG05,OUT017,2640.045658
FDK28,OUT013,4093.117188
FDV47,OUT045,1332.601563
FDN21,OUT045,2473.0625
FDP20,OUT027,3526.179688
FDI35,OUT045,2848.5625
DRY23,OUT013,770.4362827
FDA56,OUT017,2122.78125
FDB09,OUT013,2040.625
NCO26,OUT027,3295.835938
FDQ49,OUT018,2270.889408
FDI52,OUT027,3378.625
FDZ44,OUT027,3376.632813
FDZ09,OUT018,2318.890625
FDY03,OUT049,1954.623783
NCG42,OUT017,2152.101563
DRI13,OUT027,4889.4375
FDQ32,OUT013,2120.889408
FDW16,OUT035,1637.951908
FDU27,OUT046,804.2175327
FDR28,OUT010,705.5690952
FDQ49,OUT010,658.3269077
FDS37,OUT046,1906.679688
FDW26,OUT018,3205.725345
FDX12,OUT018,3585.225345
NCP06,OUT013,2402.5
FDW45,OUT010,400.2265625
NCN30,OUT049,1602.03125
FDN24,OUT049,972.5078125
NCL41,OUT027,2018.117188
FDR02,OUT019,-158.1015625
FDD09,OUT010,1006.4375
FDS33,OUT010,-464.1105923
FDU22,OUT045,1835.273438
FDI53,OUT013,2618.475345
DRH01,OUT049,2856.765625
FDX32,OUT013,2378.569095
NCP30,OUT018,368.7421875
FDB60,OUT045,3052.6875
FDB14,OUT049,1665.287845
NCP02,OUT035,1078.335938
FDJ10,OUT017,2367.467533
FDG34,OUT046,1815.131595
NCB18,OUT017,1496.882813
FDM16,OUT049,1337.55347
FDW25,OUT018,1130.15625
FDB35,OUT010,-373.9465298
DRN11,OUT013,2299.882813
FDF41,OUT019,1965.367188
FDH16,OUT045,1340.96875
NCQ50,OUT018,3058.0625
DRH23,OUT018,645.90625
DRJ37,OUT013,2431.875
DRJ24,OUT027,4348
FDY16,OUT035,3063.405033
FDQ27,OUT045,1678.826908
FDZ33,OUT045,2284.09375
FDF29,OUT045,2059.037845
FDA08,OUT049,2773.30347
FDG31,OUT046,1079.710938
FDE34,OUT019,1017.007813
NCR30,OUT027,2618.992188
FDV33,OUT035,4263.912845
DRZ24,OUT018,1634.1875
NCL54,OUT035,2862.796875
FDR12,OUT049,2899.201908
NCC54,OUT046,3806.84375
DRN59,OUT013,808.9453125
FDX50,OUT019,-168.7265625
FDV31,OUT027,4308.101563
NCA29,OUT027,4171.796875
FDW60,OUT049,2968.287845
FDX08,OUT017,3046.429688
DRD49,OUT013,3721.125
FDD33,OUT046,3680.820313
FDW35,OUT013,770.640625
FDJ36,OUT017,1791.475345
FDV51,OUT035,2801.703125
FDW36,OUT046,1722.390625
FDH35,OUT046,2654.8125
NCS30,OUT027,3503.65625
FDN49,OUT017,790.2253452
FDL08,OUT018,3648.570313
FDI09,OUT013,4034.350345
FDP19,OUT018,1802.148438
FDU21,OUT010,-1318.548092
NCP41,OUT045,1668.195313
FDY10,OUT013,1835.921875
FDP12,OUT018,396.2956577
NCN26,OUT049,1937.164063
FDK44,OUT013,2821.859375
FDC28,OUT049,1834.820313
FDJ41,OUT027,5591.960938
NCT29,OUT035,2118.890625
NCH42,OUT019,1687.820313
FDU60,OUT018,2423.623783
FDS02,OUT045,2979.287845
FDC51,OUT046,1992.998783
FDU03,OUT013,2965.80347
FDX39,OUT045,3331.36597
NCY05,OUT010,-1292.648438
NCL06,OUT027,5516.882813
FDD32,OUT035,1521.920658
NCN41,OUT045,1893.984375
NCX53,OUT049,2360.835938
FDU57,OUT019,509.7331577
FDQ23,OUT046,1700.515625
FDQ52,OUT045,3824.304688
FDC14,OUT045,687.8034702
FDY09,OUT035,2955.039063
FDQ28,OUT045,2440.42847
FDV25,OUT046,3536.851563
FDJ07,OUT035,2030.140625
DRB25,OUT049,1782.15625
FDK52,OUT019,1633.1875
FDY52,OUT027,2481.15625
FDB28,OUT046,3097.140625
FDT36,OUT035,755.8125
FDV25,OUT017,3657.703125
NCN07,OUT027,3528.25
FDC57,OUT017,3243.74097
FDQ03,OUT018,3504.733158
FDU23,OUT017,2784.054688
NCX41,OUT035,3514.101563
NCD06,OUT035,884.609375
FDW08,OUT045,1662.023438
NCU29,OUT017,2426.9375
NCE06,OUT013,2556.4375
FDV52,OUT010,-37.55590483
FDB02,OUT017,2992.05347
NCR18,OUT045,630.59375
FDK16,OUT049,1605.429688
NCQ29,OUT010,2143.1875
FDZ01,OUT019,-139.1262173
FDW27,OUT035,2671.639408
FDD17,OUT018,3470.375
FDW39,OUT013,2892.787845
DRH59,OUT045,1125.21875
FDS52,OUT013,1665.195313
FDU40,OUT027,4529.609375
NCF54,OUT013,2758.367188
FDH46,OUT045,1630.70972
NCP14,OUT049,1723.734375
FDH50,OUT049,3109.701908
DRF15,OUT010,502.46875
FDV27,OUT027,2919.123783
NCJ06,OUT049,1994.601563
FDN02,OUT018,3003.640625
FDQ51,OUT049,925.3034702
FDQ07,OUT017,3696.49097
FDS45,OUT049,1838.061283
NCJ06,OUT045,1843.023438
FDD36,OUT035,2041.140625
FDY25,OUT045,2867.890625
FDU52,OUT046,2449.429688
DRK47,OUT017,3703.140625
NCL30,OUT017,2127.382813
FDN22,OUT035,4133.24097
NCF30,OUT027,3421.5625
FDK03,OUT035,4191.77222
FDT45,OUT017,1012.507813
NCC54,OUT027,5222.765625
FDP08,OUT018,2879.162845
FDU44,OUT046,2675.780033
DRG39,OUT035,992.03125
FDU32,OUT049,2099.179688
FDY27,OUT049,2903.65625
NCP54,OUT013,1975.734375
NCZ41,OUT049,2114.0625
DRL49,OUT013,2300.765625
FDI05,OUT018,972.9362827
FDY56,OUT045,3586.787845
DRC13,OUT013,2061.80347
NCV29,OUT017,2962.375
FDR24,OUT049,1582.826908
FDZ34,OUT018,2785.59375
FDP37,OUT035,2159.523438
FDX08,OUT027,4368.40625
FDS57,OUT045,2170.898438
NCG18,OUT049,1723.875
FDK25,OUT018,2437.83472
FDH53,OUT049,1439.483158
DRI59,OUT018,3263.460938
FDA52,OUT046,2815.498783
FDT20,OUT010,-1219.914063
FDE36,OUT019,740.6472202
FDI24,OUT017,2883.664063
FDB28,OUT018,2840.96875
FDV11,OUT017,2962.951908
FDP01,OUT046,2505.045658
FDD34,OUT027,4029.757813
FDJ50,OUT027,2358.726563
FDZ44,OUT013,1977.632813
DRO59,OUT035,1388.757813
DRB48,OUT045,623.0769077
FDR21,OUT018,2498.03125
NCE42,OUT010,1777.117188
FDO23,OUT046,1498.53125
NCE30,OUT018,3040.742188
FDQ22,OUT035,787.7265625
FDY01,OUT045,1827.14722
FDS08,OUT017,2969.75
FDG28,OUT018,3642.944095
FDQ51,OUT018,584.8425327
FDB05,OUT017,4020.546875
FDO56,OUT049,2050.545658
FDE02,OUT018,1246.367188
FDN45,OUT017,3611.789063
FDS09,OUT013,882.4284702
NCA54,OUT018,2574.703125
FDP09,OUT010,1452.953125
FDC53,OUT045,1522.132813
NCM55,OUT017,3047.234375
FDL09,OUT018,2425.405033
FDA11,OUT019,-379.8203125
FDA50,OUT045,1415.414063
FDC23,OUT017,2983.085938
FDE22,OUT049,2631.585938
FDD23,OUT046,3039.561283
NCA29,OUT049,2819.1875
FDK38,OUT046,2383.085938
DRC13,OUT046,1979.889408
NCP43,OUT049,2932.9375
FDX28,OUT049,1670.953125
FDF08,OUT049,1627.686283
FDZ33,OUT046,2368.46875
FDD10,OUT049,2969.436283
FDO58,OUT017,2686.210938
FDI50,OUT017,3825.014408
FDO58,OUT045,2563.515625
FDX08,OUT013,2951.429688
NCK17,OUT010,-1219.242188
FDF39,OUT035,4295.694095
FDU45,OUT010,-73.20434233
NCJ18,OUT018,1550.671875
DRC27,OUT019,1954.960938
DRC25,OUT035,1512.914063
FDU59,OUT035,2707.226563
FDU28,OUT035,3169.186283
NCP30,OUT046,665.3203125
FDB39,OUT018,609.265625
FDE41,OUT013,1453.162845
DRH11,OUT010,-981.3359375
FDA58,OUT045,3647.21875
FDU50,OUT046,1858.139408
FDM34,OUT013,2095.796875
FDM44,OUT027,3137.609375
FDR39,OUT045,2844.265625
FDM25,OUT045,2775.33472
FDQ49,OUT049,2644.05347
DRH25,OUT018,581.390625
FDM09,OUT027,4196.405033
FDL44,OUT019,721.546875
NCR42,OUT018,258.125
DRL59,OUT046,892.125
FDX43,OUT013,2743.265625
DRK47,OUT010,1673.554688
FDU48,OUT018,1834.15625
FDY12,OUT045,795.9362827
NCN43,OUT018,1686.34375
NCM55,OUT018,2626.695313
FDQ21,OUT027,3419.96875
FDX13,OUT035,4145.148438
NCK30,OUT027,5417.140625
FDG20,OUT049,2942.655033
DRG27,OUT017,739.875
FDY14,OUT018,3858.085938
FDP59,OUT035,1848.967533
FDU60,OUT017,2837.983158
NCC18,OUT019,750.4453125
DRJ39,OUT017,3524.507813
FDS07,OUT049,1946.21875
FDM08,OUT027,5048.11597
FDP51,OUT045,1900.58472
FDU16,OUT035,1492.725345
FDH12,OUT013,1747.59375
DRE48,OUT010,1186.695313
NCL42,OUT027,5281.453125
